file,product_name,batch_no,user_id,stage,status,timestamp,error_status
ProductReport_20250101_012111_METHO 750MG STHA1B00_HAM2400975_rp98927.pdf,METHO750MG,HAM2400975,rp98927,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250101_015401_METHO 750MG STHA1B00_HAM2400975_rp98927.pdf,METHO750MG,HAM2400975,rp98927,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250101_022542_METHO 750MG STHA1B00_HAM2400975_rp98927.pdf,METHO750MG,HAM2400975,rp98927,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_030053_METHO 750MG STHA1B00_HAM2400975_rp98927.pdf,METHO750MG,HAM2400975,rp98927,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_032636_METHO 750MG STHA1B00_HAM2400975_rp98927.pdf,METHO750MG,HAM2400975,rp98927,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_093313_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250101_100453_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_104123_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_112041_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Warehouse,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_115603_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_122943_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_124723_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_124728_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250101_124855_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_125122_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250101_125433_METHO 750MG STHA1B00_HAM2401075_mk98268.pdf,METHO750MG,HAM2401075,mk98268,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_210148_METHO 750MG STHA1B00_HAM2401075_dm98328.pdf,METHO750MG,HAM2401075,dm98328,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250101_213329_METHO 750MG STHA1B00_HAM2401075_dm98328.pdf,METHO750MG,HAM2401075,dm98328,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250102_085353_METHO 750MG STHA1B00_HAM2401075_vg96371.pdf,METHO750MG,HAM2401075,vg96371,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_000651_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,Warehouse,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_040229_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_041755_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250103_043321_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_044847_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_050413_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_053135_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_054700_ACICLO200MGSTVI1A00_VIM2401820_ka89411.pdf,ACICLO200MGSTVI1A0,VIM2401820,ka89411,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250103_072008_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250103_073533_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250103_075058_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_080623_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_082149_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_083714_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250103_085610_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_091135_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_092700_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_105130_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Warehouse,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_111048_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_113005_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_114923_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_120840_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250103_122757_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_124715_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_130632_ACICLO200MGSTVI1A00_VIM2401820_vg96371.pdf,ACICLO200MGSTVI1A0,VIM2401820,vg96371,Blending,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_144543_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250103_150459_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_152416_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,Warehouse,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_154332_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_160249_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250103_162205_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,Warehouse,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_164122_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250103_170038_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250103_171418_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250103_171419_ACICLO200MGSTVI1A00_VIM2401820_pb97604.pdf,ACICLO200MGSTVI1A0,VIM2401820,pb97604,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250104_184034_ACICLO400MG STVI1B00_VIM2402440_pb97604.pdf,ACICLO400MG,VIM2402440,pb97604,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_184036_ACICLO400MG STVI1B00_VIM2402440_pb97604.pdf,ACICLO400MG,VIM2402440,pb97604,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_184037_ACICLO400MG STVI1B00_VIM2402440_pb97604.pdf,ACICLO400MG,VIM2402440,pb97604,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_185602_ACICLO400MG STVI1B00_VIM2402440_pb97604.pdf,ACICLO400MG,VIM2402440,pb97604,Compression,In Progress,2026-03-29 22:39:09.113515,Check Compression
ProductReport_20250104_215258_ACICLO400MG STVI1B00_VIM2402440_pb97604.pdf,ACICLO400MG,VIM2402440,pb97604,WIP,In Progress,2026-03-29 22:39:09.113515,Check Storage
ProductReport_20250104_215621_ACICLO400MG STVI1B00_VIM2402440_pb97604.pdf,ACICLO400MG,VIM2402440,pb97604,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_221233_ACICLO400MG STVI1B00_VIM2402440_ka89411.pdf,ACICLO400MG,VIM2402440,ka89411,Granulation,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_222857_ACICLO400MG STVI1B00_VIM2402440_ka89411.pdf,ACICLO400MG,VIM2402440,ka89411,Warehouse,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_224423_ACICLO400MG STVI1B00_VIM2402440_ka89411.pdf,ACICLO400MG,VIM2402440,ka89411,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_225950_ACICLO400MG STVI1B00_VIM2402440_ka89411.pdf,ACICLO400MG,VIM2402440,ka89411,Coating,In Progress,2026-03-29 22:39:09.113515,No Error
ProductReport_20250104_231516_ACICLO400MG STVI1B00_VIM2402440_ka89411.pdf,ACICLO400MG,VIM2402440,ka89411,Warehouse,In Progress,2026-03-29 22:39:09.113515,No Error
